scene_id,chapter_id,avg_dialogue_score_percent
1,-1,0.00
2,1,100.00
3,1,100.00
4,1,53.29
5,1,55.19
6,1,100.00
7,1,51.65
8,1,100.00
9,1,100.00
10,1,100.00
11,1,67.02
12,1,59.19
13,1,100.00
14,1,62.13
15,1,100.00
16,1,100.00
17,1,100.00
18,1,100.00
19,1,71.34
20,1,55.19
21,1,77.78
22,1,100.00
23,1,100.00
24,1,100.00
25,1,100.00
26,-1,0.00
27,-1,0.00
28,1,47.56
29,1,65.47
30,1,76.88
31,1,100.00
32,1,100.00
33,1,100.00
34,1,55.85
35,1,100.00
36,1,100.00
37,1,74.09
38,1,60.41
39,1,77.20
40,1,69.92
41,-1,0.00
42,1,100.00
43,1,100.00
44,-1,0.00
45,-1,0.00
46,1,51.22
47,1,76.19
48,1,100.00
49,1,52.50
50,-1,0.00
51,-1,0.00
52,1,58.79
53,1,52.03
54,1,100.00
55,1,55.62
56,1,76.04
57,1,100.00
58,1,65.83
59,1,50.00
60,1,100.00
61,1,100.00
62,1,61.54
63,1,100.00
64,1,100.00
65,1,71.49
66,1,44.75
67,1,51.29
68,1,100.00
69,-1,0.00
70,1,100.00
71,1,67.78
72,1,47.35
73,1,100.00
74,1,100.00
75,1,67.06
76,1,50.71
77,1,61.83
78,1,60.85
79,1,100.00
80,1,100.00
81,1,100.00
82,1,100.00
83,1,54.84
84,-1,0.00
85,1,100.00
86,-1,0.00
87,1,100.00
88,1,44.97
89,1,53.37
90,1,98.36
91,1,100.00
92,1,79.20
93,1,49.50
94,1,75.82
95,1,49.31
96,1,47.83
97,1,62.99
98,1,55.33
99,1,100.00
100,1,100.00
101,-1,0.00
102,-1,0.00
103,-1,0.00
104,1,100.00
105,1,58.43
106,1,100.00
107,1,100.00
108,1,50.87
109,1,74.72
110,1,100.00
111,1,100.00
112,1,100.00
113,1,100.00
114,1,56.27
115,1,100.00
116,1,53.67
117,1,50.17
118,1,100.00
119,1,65.26
120,1,100.00
121,1,100.00
122,1,100.00
123,1,100.00
124,1,66.67
125,-1,0.00
126,1,100.00
127,1,75.00
128,1,100.00
129,1,100.00
130,1,100.00
131,1,52.93
132,1,66.72
133,1,100.00
134,1,100.00
135,1,83.15
136,1,100.00
137,1,51.32
138,1,100.00
139,1,100.00
140,1,100.00
141,1,56.10
142,1,100.00
143,1,100.00
144,1,100.00
145,1,100.00
146,1,100.00
147,1,100.00
148,1,100.00
149,1,60.04
150,-1,0.00
151,1,100.00
152,1,100.00
153,1,61.54
154,1,67.46
155,1,53.57
156,1,100.00
157,1,51.20
158,1,100.00
159,1,72.78
160,1,75.73
161,1,73.18
162,1,100.00
163,1,73.89
164,1,100.00
165,1,43.24
166,1,54.43
167,1,56.58
168,1,100.00
169,1,100.00
170,1,54.07
171,1,68.03
172,1,59.67
173,1,66.55
174,1,100.00
175,1,83.33
176,1,84.31
177,1,100.00
178,1,100.00
179,1,100.00
180,1,100.00
181,1,59.53
182,1,71.61
183,1,65.86
184,1,59.57
185,1,100.00
186,1,64.91
187,1,100.00
188,1,100.00
189,1,69.56
190,1,57.60
191,1,100.00
192,1,71.09
193,1,79.96
194,-1,0.00
195,1,57.79
196,1,52.13
197,1,100.00
198,1,100.00
199,1,75.49
200,1,100.00
201,1,68.62
202,1,56.82
203,1,100.00
204,1,48.80
205,1,100.00
206,1,100.00
207,1,100.00
208,1,52.00
209,1,77.53
210,1,57.14
211,1,100.00
212,1,63.44
213,1,68.97
214,1,61.33
215,1,85.56
216,1,100.00
217,1,100.00
218,1,59.45
219,1,50.41
220,-1,0.00
221,1,100.00
222,1,63.65
223,1,68.98
224,1,61.06
225,1,66.67
226,1,100.00
227,1,59.32
228,1,100.00
229,1,100.00
230,1,100.00
231,1,100.00
232,1,100.00
233,1,66.77
234,1,76.93
235,1,46.95
236,1,68.39
237,1,67.15
238,1,56.01
239,1,50.57
240,1,64.86
241,1,100.00
242,1,59.93
243,1,100.00
244,1,91.67
245,1,69.23
246,1,100.00
247,1,100.00
248,1,68.65
249,1,100.00
250,1,100.00
251,1,52.38
252,1,100.00
253,1,61.71
254,1,50.00
255,-1,0.00
256,1,100.00
257,1,50.70
258,1,100.00
259,1,100.00
260,1,53.33
261,1,78.95
262,1,100.00
263,-1,0.00
264,1,100.00
265,1,100.00
266,1,66.92
267,1,53.62
268,1,100.00
269,1,64.84
270,1,62.96
271,1,71.83
272,1,100.00
273,1,70.35
274,1,47.50
275,1,58.46
276,1,54.85
277,1,100.00
278,1,47.03
279,1,61.09
280,1,100.00
281,1,100.00
282,1,57.93
283,1,58.80
284,1,58.12
285,1,100.00
286,1,69.04
287,1,100.00
288,1,100.00
289,1,62.89
290,1,45.41
291,1,68.97
292,1,51.85
293,1,100.00
294,1,62.84
295,1,100.00
296,1,76.19
297,1,100.00
298,1,100.00
299,1,47.69
300,1,100.00
301,1,100.00
302,1,45.16
303,1,47.06
304,1,100.00
305,1,60.96
306,1,100.00
307,1,80.00
308,1,100.00
309,1,49.14
310,1,100.00
311,1,51.28
312,1,100.00
313,1,100.00
314,1,100.00
315,-1,0.00
316,1,61.84
317,1,100.00
318,1,100.00
319,1,44.68
320,1,54.45
321,1,100.00
322,1,66.00
323,1,64.29
324,1,100.00
