scene_id,chapter_id,avg_dialogue_score_percent,vote_rate
1,-1,0.00,0.000
2,1,100.00,1.000
3,1,100.00,1.000
4,1,53.29,1.000
5,1,55.19,1.000
6,1,100.00,1.000
7,1,51.65,1.000
8,1,100.00,1.000
9,1,100.00,1.000
10,1,100.00,1.000
11,1,67.02,1.000
12,1,59.19,1.000
13,1,100.00,1.000
14,1,62.13,1.000
15,1,100.00,1.000
16,1,100.00,1.000
17,1,100.00,1.000
18,1,100.00,1.000
19,1,71.34,1.000
20,1,55.19,1.000
21,1,77.78,1.000
22,1,100.00,1.000
23,1,100.00,1.000
24,1,100.00,1.000
25,1,100.00,1.000
26,-1,0.00,0.000
27,-1,0.00,0.000
28,1,47.56,1.000
29,1,65.47,1.000
30,1,76.88,1.000
31,1,100.00,1.000
32,1,100.00,1.000
33,1,100.00,1.000
34,1,55.85,1.000
35,1,100.00,1.000
36,1,100.00,1.000
37,1,74.09,1.000
38,1,60.41,1.000
39,1,77.20,1.000
40,1,69.92,1.000
41,-1,0.00,0.000
42,1,100.00,1.000
43,1,100.00,1.000
44,-1,0.00,0.000
45,-1,0.00,0.000
46,1,51.22,1.000
47,1,76.19,1.000
48,1,100.00,1.000
49,1,52.50,1.000
50,-1,0.00,0.000
51,-1,0.00,0.000
52,1,58.79,1.000
53,1,52.03,1.000
54,1,100.00,1.000
55,1,55.62,1.000
56,1,76.04,1.000
57,1,100.00,1.000
58,1,65.83,1.000
59,1,50.00,1.000
60,1,100.00,1.000
61,1,100.00,1.000
62,1,61.54,1.000
63,1,100.00,1.000
64,1,100.00,1.000
65,1,71.49,1.000
66,1,44.75,1.000
67,1,51.29,1.000
68,1,100.00,1.000
69,-1,0.00,0.000
70,1,100.00,1.000
71,1,67.78,1.000
72,1,47.35,1.000
73,1,100.00,1.000
74,1,100.00,1.000
75,1,67.06,1.000
76,1,50.71,1.000
77,1,61.83,1.000
78,1,60.85,1.000
79,1,100.00,1.000
80,1,100.00,1.000
81,1,100.00,1.000
82,1,100.00,1.000
83,1,54.84,1.000
84,-1,0.00,0.000
85,1,100.00,1.000
86,-1,0.00,0.000
87,1,100.00,1.000
88,1,44.97,1.000
89,1,53.37,1.000
90,1,98.36,1.000
91,1,100.00,1.000
92,1,79.20,1.000
93,1,49.50,1.000
94,1,75.82,1.000
95,1,49.31,1.000
96,1,47.83,1.000
97,1,62.99,1.000
98,1,55.33,1.000
99,1,100.00,1.000
100,1,100.00,1.000
101,-1,0.00,0.000
102,-1,0.00,0.000
103,-1,0.00,0.000
104,1,100.00,1.000
105,1,58.43,1.000
106,1,100.00,1.000
107,1,100.00,1.000
108,1,50.87,1.000
109,1,74.72,1.000
110,1,100.00,1.000
111,1,100.00,1.000
112,1,100.00,1.000
113,1,100.00,1.000
114,1,56.27,1.000
115,1,100.00,1.000
116,1,53.67,1.000
117,1,50.17,1.000
118,1,100.00,1.000
119,1,65.26,1.000
120,1,100.00,1.000
121,1,100.00,1.000
122,1,100.00,1.000
123,1,100.00,1.000
124,1,66.67,1.000
125,-1,0.00,0.000
126,1,100.00,1.000
127,1,75.00,1.000
128,1,100.00,1.000
129,1,100.00,1.000
130,1,100.00,1.000
131,1,52.93,1.000
132,1,66.72,1.000
133,1,100.00,1.000
134,1,100.00,1.000
135,1,83.15,1.000
136,1,100.00,1.000
137,1,51.32,1.000
138,1,100.00,1.000
139,1,100.00,1.000
